sample_index,oracle_target_label,task_candidate,clip_candidate,transferred_clip_to_task_mass,baseline_output_first_order,candidate_output_first_order,baseline_feature_first_order,candidate_feature_first_order,candidate_minus_baseline_feature_first_order,oracle_usage
652,0,0,10,0.05254183440600434,-0.00031274949084675075,-0.0002692962151572713,-0.0002436584323452868,-0.00020968538858573283,3.397304375955397e-05,diagnostic_only_after_pair_neutralization_signal_lock
3030,0,0,5,0.08273984541665941,2.2088490749890087e-06,2.243146033809704e-06,1.8594049434451804e-06,1.8852941494742985e-06,2.5889206029118088e-08,diagnostic_only_after_pair_neutralization_signal_lock
3433,0,0,6,0.01251535925729419,0.00368779945763111,0.003691102804309497,0.002981533922180369,0.0029841117830547697,2.5778608744005463e-06,diagnostic_only_after_pair_neutralization_signal_lock
3588,0,6,0,0.49391543749621153,0.010534477654806595,0.006608101981177544,0.00885327881762719,0.005551669384558695,-0.0033016094330684956,diagnostic_only_after_pair_neutralization_signal_lock
3809,1,6,7,0.20894173229066945,0.004139747885272011,0.00337405860981839,0.0036732171351453852,0.0029852261082218357,-0.0006879910269235495,diagnostic_only_after_pair_neutralization_signal_lock
4044,1,6,7,0.18951650718307905,0.007246432182706139,0.006542500911363873,0.006122144122284016,0.005486995131009052,-0.0006351489912749635,diagnostic_only_after_pair_neutralization_signal_lock
4361,1,6,9,0.06361965693928862,0.0052078439001979554,0.004859117843942199,0.0038715715651552324,0.003576130893083918,-0.0002954406720713145,diagnostic_only_after_pair_neutralization_signal_lock
4402,1,6,9,0.36604781206129533,0.007108305016401034,0.004853125404461233,0.005716259391563182,0.0037770164469902376,-0.001939242944572944,diagnostic_only_after_pair_neutralization_signal_lock
4411,1,1,6,0.24952108286351,0.0008681869373393634,0.001184916203810257,0.0006482451257788938,0.0008444270795959311,0.0001961819538170373,diagnostic_only_after_pair_neutralization_signal_lock
4566,1,1,7,0.29066993770309335,0.0013173340985299597,0.0018968705123688884,0.0010717375116752388,0.0013939884363259633,0.00032225092465072453,diagnostic_only_after_pair_neutralization_signal_lock
4765,1,6,7,0.2225670676401719,0.005921225949870863,0.004871593985456618,0.004264695158528746,0.0033191256746356525,-0.0009455694838930938,diagnostic_only_after_pair_neutralization_signal_lock
4769,1,1,6,0.3079311030618167,-0.00020626212232843,0.0008704111219132594,0.0001985441731892339,0.0009341435236786394,0.0007355993504894055,diagnostic_only_after_pair_neutralization_signal_lock
4989,1,1,7,0.3424705025027446,-0.0008858429791701327,0.0003344322548298732,-0.0002950084962267624,0.00034544236339001584,0.0006404508596167782,diagnostic_only_after_pair_neutralization_signal_lock
5010,1,6,3,0.37704763040961253,0.0035813735040868583,0.002421410275701092,0.0027884666301699517,0.0018944431246048418,-0.0008940235055651098,diagnostic_only_after_pair_neutralization_signal_lock
5213,1,6,9,0.04246025286063923,0.0018799280310236573,0.0017981212432066785,0.0014538853844954193,0.0013882741769850905,-6.561120751032872e-05,diagnostic_only_after_pair_neutralization_signal_lock
5391,1,6,3,0.13908668714371022,0.004075304959066174,0.00346615569578659,0.0031669923501988894,0.002685121310708115,-0.0004818710394907744,diagnostic_only_after_pair_neutralization_signal_lock
5432,1,6,9,0.12914782995397425,0.0034692363880183936,0.0031521537653050255,0.00290380970441458,0.0026601048097956437,-0.0002437048946189362,diagnostic_only_after_pair_neutralization_signal_lock
5806,1,6,7,0.02906310718838115,0.0045894826587336915,0.004496113457383608,0.0034435311137809253,0.003358454487419664,-8.507662636126137e-05,diagnostic_only_after_pair_neutralization_signal_lock
5818,1,1,6,0.32381282426537633,0.0016097637156420172,0.002129381601357721,0.0010971339557210508,0.001410169302241053,0.00031303534652000206,diagnostic_only_after_pair_neutralization_signal_lock
5836,1,1,6,0.11641434192587452,0.004164231892607812,0.004342828133095285,0.002403721797792041,0.002527141692241821,0.0001234198944497799,diagnostic_only_after_pair_neutralization_signal_lock
5994,1,6,7,0.17515668480423194,0.0029788520734907336,0.002227251062772306,0.00233778701137332,0.0016613319785092312,-0.0006764550328640887,diagnostic_only_after_pair_neutralization_signal_lock
6148,1,3,7,0.37121751213787385,0.002352242198535318,0.001429968986758541,0.002303829499623009,0.0011861395419540898,-0.0011176899576689193,diagnostic_only_after_pair_neutralization_signal_lock
6185,1,6,9,0.4669685694220625,0.007462979862133111,0.004732844430820448,0.006064748056104629,0.0037187798734517456,-0.002345968182652883,diagnostic_only_after_pair_neutralization_signal_lock
6202,1,6,1,0.46720193687328115,0.01003280403022497,0.005127858248092254,0.007427712193574906,0.004049176394189895,-0.0033785357993850107,diagnostic_only_after_pair_neutralization_signal_lock
6246,1,1,7,0.08172063309178934,0.0026484874789869783,0.00287256759468048,0.0021531809613189543,0.00227560908441756,0.00012242812309860547,diagnostic_only_after_pair_neutralization_signal_lock
6308,1,1,7,0.016778361095246386,0.0010833703501471569,0.0011493302442488061,0.0009350555968641006,0.000972619484607965,3.756388774386432e-05,diagnostic_only_after_pair_neutralization_signal_lock
6313,1,6,7,0.24985705427494884,0.006045517553747668,0.004504519701918247,0.004923320365099658,0.0035387193010894546,-0.0013846010640102034,diagnostic_only_after_pair_neutralization_signal_lock
6324,1,6,3,0.40278876857210455,0.009294901721980579,0.006997731005112626,0.008304541868371552,0.0064162799649111445,-0.0018882619034604076,diagnostic_only_after_pair_neutralization_signal_lock
6340,1,1,9,0.2393565815238624,5.1837674204033665e-05,0.0009786528967008071,0.00048205968593172555,0.0010449777371147866,0.0005629180511830611,diagnostic_only_after_pair_neutralization_signal_lock
6599,1,6,7,0.13622596681793103,0.005763373032809475,0.0049904602127856575,0.004628614404501834,0.003932984414716554,-0.0006956299897852795,diagnostic_only_after_pair_neutralization_signal_lock
6904,1,1,6,0.00855770291248173,4.904768230689927e-05,8.480029213234601e-05,0.0003340016026063572,0.0003527736564179596,1.8772053811602434e-05,diagnostic_only_after_pair_neutralization_signal_lock
6914,1,1,7,0.2098639797661641,-0.0003667528034300598,0.00044835931423509347,0.0001796220477654937,0.0006489746772738465,0.00046935262950835275,diagnostic_only_after_pair_neutralization_signal_lock
8151,2,2,7,0.23559372636832016,-0.0006944346085396959,-0.00012336538799899598,-0.0008001516807121928,-0.00019450904134281355,0.0006056426393693793,diagnostic_only_after_pair_neutralization_signal_lock
8431,2,2,7,0.19239009343518143,0.003209221607507054,0.0033440744832861488,0.003066020225075651,0.003209959516804562,0.00014393929172891104,diagnostic_only_after_pair_neutralization_signal_lock
9481,2,10,7,0.1449177438799603,0.0040805453230816375,0.0033009501603460797,0.004219787655687899,0.0034036357584087628,-0.0008161518972791362,diagnostic_only_after_pair_neutralization_signal_lock
9561,2,3,7,0.2003236830295199,0.005140792394065697,0.004541579202754074,0.005095157181089609,0.004556284226920561,-0.0005388729541690477,diagnostic_only_after_pair_neutralization_signal_lock
9612,2,3,7,0.1272186164170925,0.008127955677959191,0.007459567264358532,0.008086557367324377,0.007470720959019928,-0.0006158364083044491,diagnostic_only_after_pair_neutralization_signal_lock
9810,2,3,7,0.2548819200325644,0.004936051358918035,0.0039498208130297335,0.004359628137313342,0.003487572218608688,-0.0008720559187046541,diagnostic_only_after_pair_neutralization_signal_lock
10643,2,10,1,0.041037349210289537,0.005331407154409822,0.005135678777213133,0.005363544861086256,0.005123903880785595,-0.00023964098030066112,diagnostic_only_after_pair_neutralization_signal_lock
